game_slug,share_code,make,model,year,car_class,pi_rating,tune_type,drivetrain,track,creator_gamertag,title,description,source_url
fh5,152122917,BMW,M635 CSi,1986,A,800,road,RWD,,Noa Miyako,Purist,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,653858077,BMW,M635 CSi,1986,A,800,dirt,AWD,,PTW Subzero,S65 No Aero V2,"AWD, 4.0L BMW V8, No Aero, Stock Rims, Offroad Race Tires. Good Dirt,01:10.945 River Scramble. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,181035400,BMW,M635 CSi,1986,A,800,dirt,AWD,,KapienPL,Chill Dirt,"AWD, 4.0L BMW V8 w/ Anti-Lag Turbos, No Aero, Stock Rims, Offroad Race Tires. Good Dirt,01:05.315 Teotihuacan Scramble. Feels fairly nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,174853660,Hyundai,N Vision 74,2022,A,800,road,AWD,Seasonal Reward Car,JakeGTR9,Smaaash,"AWD, Stock Aero, Rally Tires. Good AWD, similar laptime to below ↓. For circuits/short sprints. Better launch but lower top speed than below tune ↓. Use e-brake launch for better launch. Feels fairly nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,272380664,Hyundai,N Vision 74,2022,A,800,road,AWD,S34 Summer (Week 1),LogikJ,A Road AWD,"AWD, Stock Aero, Rally Tires. Good AWD,00:57.943 Estadio Circuit. Worse launch but higher top speed than above tune ↑. Feels fairly nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,130287363,Hyundai,N Vision 74,2022,A,800,road,AWD,,Sa1monBark,A Road,"AWD, Stock Aero, Stock Rims, Rally Tires. Good AWD, similar laptime to above ↑. Worse launch but higher top speed than JakeGTR9's tune ↑. Use e-brake launch for better launch. Feels fairly nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,129769863,Hyundai,N Vision 74,2022,A,800,road,RWD,,GreetedDust8,Shudder Shades,"RWD, Stock Aero, Drift Tires, Dry Only, Purist. Low top speed, for circuits only!. Feels decent to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,111140993,Hyundai,N Vision 74,2022,A,800,dirt,AWD,,romik092,Dirt V1,"AWD, Stock Aero, Offroad Race Tires. Good Dirt, similar laptime to below ↓. Poor launch. Use e-brake launch for better launch. Feels fairly nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,868303971,Hyundai,N Vision 74,2022,A,800,dirt,AWD,,LogikJ,A Dirt AWD,"AWD, Stock Aero, Stock Rims, Offroad Race Tires. Good Dirt,01:05.859 Teotihuacan Scramble. Poor launch. Use e-brake launch for better launch. Feels fairly nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,134777048,Hyundai,N Vision 74,2022,S1,900,road,AWD,,Sa1monBark,S1 Road,"AWD, Stock Aero, Stock Rims, Race Slicks, Dry Only. Poor launch & somewhat poor handling. Use e-brake launch for better launch. Feels decent & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,153170781,Lamborghini,Countach LPI 800-4,2021,S1,900,road,AWD,Seasonal Reward Car,Sa1monBark,S1 Road,"AWD, 4.7L Ferrari Racing V12, Full Aero, Rally Tires. Good AWD. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,133048271,Lamborghini,Countach LPI 800-4,2021,S1,900,road,AWD,S34 Summer (Week 1),K1Z Bard,S1 Road,"AWD, 4.7L Ferrari Racing V12, Full Aero. Good AWD. More handling/less power than above tune ↑. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,128649910,Lamborghini,Countach LPI 800-4,2021,S1,900,road,AWD,,K1Z Jumpy,Purist,"AWD, Stock Engine, No Aero, Stock Rims, Purist.00:40.691 Bahia De Plano Circuit. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
